feature,SPC1,SPC2
점포수_대비_매출액_log,0.37285090575924446,0.049964702940238685
상권_변화_지표_HL,-0.23272150813735404,0.21375282485754907
상권_변화_지표_LH,0.007083955104214876,-0.09964299318296409
상권_변화_지표_LL,0.15659715816699163,0.05409615839928753
폐업_률_log,-0.061480917750057214,0.13916614262566546
음식_지출_총금액_log,0.47897155965637506,0.14887755841763506
아파트_평균_시가_log,0.21415419599394073,-0.39384138461610374
아파트_단지_수_log,-0.00033947282951518154,0.405333521657287
유동인구_10_30대_log,0.31988404863945097,0.4353750366485217
유동인구_40_이상_log,0.24369270478151725,0.46249922532337784
총_직장인구_수_log,0.43693211746391253,-0.08886856671158568
집객시설_수_log,0.45853712951679143,0.22950273215812808
총_상주인구_수,0.21470191767072022,0.266270053489853
20_30_인구비_log,0.10321757605080834,0.24544802758977127
31_50_인구비_log,0.04841396624487666,-0.23062997507357877
